#####Scientology#####
#Descriptions are currently temporary
EVTDESC_operation_pagan;The great [Root.GetTitledFirstName] has declared a [Root.Religion.GetCrusadeName] against [New.GetTitledName] and the followers of [New.Religion.GetHighGodName] in the [From.GetFullBaseName]! All true [Root.Religion.GetName] men are called to arms against the uncivilized barbarians!\n\nThese uneducated rubes will soon learn the power of [Root.Religion.GetHighGodName]!;;;;;;;;;;;;x
EVTDESC_operation_christ;The great [Root.GetTitledFirstName] has declared a [Root.Religion.GetCrusadeName] against [New.GetTitledName] and the [New.Religion.GetName] infidels in [From.GetFullBaseName]! All true [Root.Religion.GetName] men are called to arms against the deniers of [Root.Religion.GetHighGodName]!\n\nTheir puny trinity is no match against our Thetans!;;;;;;;;;;;;x

temple_barony_of_scientology;Church of;;;;;;;;;;;;;x
temple_barony_scientology;Church;;;;;;;;;;;;;x
temple_baron_scientology;Minister;;;;;;;;;;;;;x
temple_baron_female_scientology;Minister;;;;;;;;;;;;;x

job_chancellor_scientology;Chairperson;;;;;;;;;;;;;x
job_marshal_scientology;Captain;;;;;;;;;;;;;x
job_treasurer_scientology;Treasurer;;;;;;;;;;;;;x
job_spymaster_scientology;Director of Special Affairs;;;;;;;;;;;;;x
job_spiritual_scientology;Auditor;;;;;;;;;;;;;x
